,Kod,Hisse Adı,Dolasimdaki_Lot
0,EUPWR,Europower Enerji,199320000
1,BINHO,1000 Yatırımlar,17813000
2,A1CAP,A1 Capital,215325000
3,ACSEL,Acıselsan Acıpayam Selüloz,5168100
4,ADEL,Adel Kalemcilik,71732400
5,ADESE,Adese AVM,935424000
6,ADGYO,Adra GYO,82529700
7,AFYON,Afyon Çimento,194400000
8,AGESA,Agesa Hayat ve Emeklilik,35820000
9,AGROT,Agrotech Yüksek Teknoloji,385200000
10,AHSGY,Ahes GYO,49920000
11,AHGAZ,Ahlatçı Doğalgaz,499200000
12,AKBNK,Akbank,2792400000
13,AKYHO,Akdeniz Yatırım Holding,192851400
14,AKENR,Akenerji,183758400
15,AKFGY,Akfen GYO,1727700000
16,AKFIS,Akfen İnşaat,66843000
17,AKFYE,Akfen Yenilenebilir Enerji,339948000
18,AKSGY,Akis GYO,1139880000
19,AKMGY,Akmerkez GYO,3692700
20,AKSA,Aksa,1270395000
21,AKSEN,Aksa Enerji,231770700
22,AKGRT,Aksigorta,451360000
23,AKSUE,Aksu Enerji,51282000
24,AKCNS,Akçansa,39428400
25,ATEKS,Akın Tekstil,5392800
26,ALCAR,Alarko Carrier,1717200
27,ALGYO,Alarko GYO,141132600
28,ALARK,Alarko Holding,161385000
29,ALBRK,Albaraka Türk,1007500000
30,ALCTL,Alcatel Teletaş,13545000
31,ALFAS,Alfa Solar,84640000
32,ALKIM,Alkim,139500000
33,ALKA,Alkim Kağıt,138915000
34,ALTNY,Altınay Savunma,58825000
35,ALKLC,Altınkılıç Gıda,33040000
36,AYCES,Altınyunus Çesme,1900000
37,ALVES,Alves Kablo,52960000
38,AEFES,Anadolu Efes,194208800
39,AGHOL,Anadolu Grubu Holding,92286500
40,ANHYT,Anadolu Hayat Emeklilik A.Ş.,64930000
41,ASUZU,Anadolu Isuzu,36540000
42,ANSGR,Anadolu Sigorta,173500000
43,ANGEN,Anatolia Biyoteknoloji,77880000
44,ANELE,Anel Elektrik,40015000
45,ARDYZ,ARD Grup Bilişim,127160000
46,ARENA,Arena Bilgisayar,50300000
47,ARMGD,Armada Gıda,44616000
48,ARSAN,Arsan Tekstil,73788400
49,ARTMS,Artemis Halı,19810000
50,ARZUM,Arzum Ev Aletleri,146700000
51,ARCLK,Arçelik,98652200
52,ASGYO,Asce GYO,154206000
53,ASELS,Aselsan,1176480000
54,ASTOR,Astor Enerji,276446000
55,ATAGY,Ata GYO,28215000
56,ATAKP,Atakey Patates,28176400
57,AGYO,Atakule GYO,48183900
58,ATSYH,Atlantis YO,7976000
59,ATLAS,Atlas YO,59880000
60,ATATP,ATP Bilgisayar,18291000
61,AVOD,Avod Kurutulmuş Gıda,253260000
62,AVTUR,Avrasya Petrol&Turistik Tesis,30960000
63,AVGYO,Avrasya YO,58032000
64,AVHOL,Avrupa Yatırım Holding,23610900
65,AVPGY,Avrupakent GYO,88400000
66,AYDEM,Aydem Enerji,129720000
67,AYEN,Ayen Enerji,46897500
68,AYES,Ayes Çelik Hasır & Çit,84000000
69,AYGAZ,Aygaz,53191600
70,AZTEK,Aztek Teknoloji,25300000
71,BAHKM,Bahadır Kimya,16005000
72,BAKAB,Bak Ambalaj,12600000
73,BALAT,Balatacılar Balatacılık,13510800
74,BALSU,Balsu Gıda,278000000
75,BAGFS,Bandırma Gübre Fabrikaları A.Ş,82620000
76,BNTAS,Bantaş Bandırma Ambalaj,141995300
77,BANVT,Banvit,8300000
78,BARMA,Barem Ambalaj,52500000
79,BEGYO,Batı Ege GYO,286065000
80,BSOKE,Batı Söke Çimento,404800000
81,BTCIM,Batıçim,2723040000
82,BYDNR,Baydöner,17976000
83,BAYRK,Bayrak EBT Taban,42766800
84,BASGZ,Başkent Doğalgaz,107100000
85,BASCM,Baştaş Başkent Çimento Sanayi,49500000
86,BERA,Bera Holding,450912000
87,BRKSN,Berkosan Yalıtım,62524800
88,BESLR,Besler Gıda,180726000
89,BEYAZ,Beyaz Filo,24426500
90,BJKAS,Beşiktaş,1305015400
91,BIENY,Bien Yapı,72200000
92,BIGCH,BigChefs,41837000
93,BLCYT,Bilici Yatırım,49000000
94,BIMAS,Bim Birleşik Mağazalar A.Ş,405000000
95,BINBN,BinBin,17024000
96,BIOEN,Biotrend Enerji,188500000
97,BRKVY,Birikim Varlık,13608000
98,BRKO,Birko Mensucat,117040000
99,BRLSM,Birlesim Mühendislik,107968000
100,BIGEN,Birleşim Grup Enerji,115400000
101,BRMEN,Birlik Mensucat,29079200
102,BIZIM,Bizim Toptan,26323500
103,BMSTL,BMS Birleşik Metal,74700000
104,BMSCH,BMS Çelik Hasır,63400000
105,BORSK,Bor Şeker,69840000
106,BORLS,Borlease Otomotiv,53309200
107,BRSAN,Borusan Birleşik Boru Fab.,27934600
108,BRYAT,Borusan Yatırım,4327400
109,BFREN,Bosch Fren,18987500
110,BOSSA,Bossa,158600000
111,BOBET,Boğaziçi Beton,114000000
112,BRISA,Brisa,31120200
113,BULGS,Bulls GSYO,72360000
114,BUCIM,Bursa Çimento,541500000
115,BURCE,Burçelik,44373400
116,BURVA,Burçelik Vana Sanayii,4358100
117,BVSAN,Bülbüloğlu Vinç,12633600
118,CRFSA,Carrefoursa,13674600
119,CASA,Casa Emtia Petrol Kim.Tür.AŞ,4821600
120,CEMZY,Cem Zeytin,100098000
121,CEOEM,CEO Event Medya,22264000
122,CCOLA,Coca-Cola İçecek A.Ş,814247100
123,CONSE,Consus Enerji,377019000
124,COSMO,Cosmos Yatırım Holding,4400500
125,CRDFA,Creditwest Faktoring,70500000
126,CVKMD,Cvk Maden,362600000
127,CWENE,Cw Enerji,291000000
128,DAGI,Dagi Giyim,174800000
129,DAGHL,Dagi Yatırım Holding A.Ş,16140000
130,DAPGM,Dap Gayrimenkul,445200000
131,DARDL,Dardanel,736141600
132,DGATE,Datagate,12210000
133,DCTTR,Dct Trading,36270000
134,DMSAS,Demisaş,103400000
135,DENGE,Denge Holding,523800000
136,DZGYO,Deniz GYO,112000000
137,DERIM,Derimod,14580000
138,DERHL,Derlüks Yatırım Holding,55835900
139,DESA,Desa Deri Sanayii,88200000
140,DESPC,Despec Bilgisayar,11707000
141,DSTKF,Destek Finans Faktoring,83325000
142,DEVA,Deva Holding,35400000
143,DNISI,Dinamik Isı Yalıtım,52907400
144,DIRIT,Diriteks Diriliş Tekstil,10047300
145,DITAS,Ditaş Doğan,27030000
146,DMRGD,DMR Unlu Mamüller,75231800
147,DOCO,DO & CO Aktiengesellschaft,9427000
148,DOFER,Dofer Yapı,17298000
149,DOBUR,Doğan Burda,5880000
150,DOHOL,Doğan Holding,934269000
151,DGNMO,Doğanlar Mobilya,175350000
152,ARASE,Doğu Aras Enerji,43750000
153,DOGUB,Doğusan,17082000
154,DGGYO,Doğuş GYO,18592000
155,DOAS,Doğuş Otomotiv,86900000
156,DURDO,Duran Doğan Basım,161500000
157,DURKN,Durukan Şekerleme,42400000
158,DYOBY,DYO Boya,75900000
159,DOKTA,Döktaş Dökümcülük,32076000
160,EDATA,E-Data Teknoloji,140367800
161,EBEBK,Ebebek,37600000
162,ECILC,Eczacıbaşı İlaç,128151100
163,ECZYT,Eczacıbaşı Yatırım,19215000
164,EDIP,Edip Gayrimenkul Yat. San.,31135000
165,EFORC,Efor Çay,90024000
166,EGEEN,Ege Endüstri,1123200
167,EGGUB,Ege Gübre,45400000
168,EGPRO,Ege Profil,71395000
169,EGSER,Ege Seramik,246960000
170,EPLAS,Egeplast,136660200
171,EGEPO,Egepol Hastanesi,100000000
172,EGEGY,Egeyapı GYO,61200000
173,EKIZ,Ekiz Yağ ve Sabun,5849700
174,EKOS,Ekos Teknoloji,59920000
175,EKSUN,Eksun Gıda,164400000
176,ELITE,Elite Organik Gıda,40694400
177,EMKEL,Emek Elektrik,120900000
178,EMNIS,Eminiş Ambalaj,2108000
179,EKGYO,Emlak Konut GYO,1835400000
180,ENDAE,Enda Enerji,87440000
181,ENJSA,Enerjisa Enerji,236220000
182,ENERY,Enerya Enerji,1980000000
183,ENKAI,Enka İnşaat,498000000
184,ENSRI,Ensari Deri,28265600
185,ERBOS,Erbosan,11640000
186,ERCB,Erciyas Çelik Boru,16415800
187,EREGL,Ereğli Demir Çelik,3325000000
188,KIMMR,Ersan Alışveriş Hizmetleri,65040000
189,ERSU,Ersu Gıda,23724000
190,ESCAR,Escar Filo,102000000
191,ESCOM,Escort Teknoloji,463758400
192,ESEN,Esenboğa Elektrik,97500000
193,ETILR,Etiler Gıda,74520000
194,EUKYO,Euro Kapital Yatırım Ortaklığı,19840000
195,EUYO,Euro Menkul,19940000
196,ETYAT,Euro Trend Yatırım,18560000
197,EUHOL,Euro Yatırım,132900000
198,TEZOL,Europap Tezol,125000000
199,EUREN,Europen Endüstri,785400000
200,EYGYO,EYG Gayrimenkul,219100000
201,FMIZP,F-M İzmit Piston,3174600
202,FADE,Fade Gıda Yatırım,41698300
203,FENER,Fenerbahce Futbol A.Ş.,94000000
204,FLAP,Flap Kongre Hiz.Oto.Tur.A.Ş,72038400
205,FONET,Fonet Bilgi Teknolojileri,88704000
206,FROTO,Ford Otosan,621110700
207,FORMT,Formet Metal ve Cam Sanayii,988043400
208,FORTE,Forte Bilgi İletişim,21976000
209,FRIGO,Frigo Pak Gıda,109883700
210,FZLGY,Fuzul Gayrimenkul,101124000
211,GWIND,Galata Wind Enerji,162000000
212,GSRAY,Galatasaray Sportif A.Ş,2160000000
213,GARAN,Garanti Bankası,588000000
214,GARFA,Garanti BBVA Faktoring,33390000
215,GRNYO,Garanti YO,36112500
216,GEDIK,Gedik Yatırım,132000000
217,GEDZA,Gediz Ambalaj Sanayi,24470800
218,GLCVY,Gelecek Varlık Yön.,26403300
219,GENIL,Gen İlaç,72000000
220,GENTS,Gentaş,162900000
221,GEREL,Gersan Elektrik,194160000
222,GZNMI,Gezinomi Seyahat,27040000
223,GMTAS,Gimat Mağazacılık,148454000
224,GESAN,Girişim Elektrik,141680000
225,GLBMD,Global Menkul Değerler,28674000
226,GLYHO,Global Yatırım Holding,1285050000
227,GOODY,Goodyear,68040000
228,GRTHO,GrainTurk Tarım,36250000
229,GSDDE,GSD Denizcilik Gayrimenkul İnş,48000000
230,GSDHO,GSD Holding A.Ş.,587000000
231,GOKNR,Göknur Gıda,157150000
232,GOLTS,Göltaş Çimento,12186000
233,GOZDE,Gözde Girisim Sermayesi,117040000
234,GUBRF,Gübre Fabrikaları,70474000
235,GLRYH,Güler Yatırım Holding,476400000
236,GLRMK,Gülermak Ağır Sanayi,38712000
237,GUNDG,Gündoğdu Gıda,9984000
